,host_listings_count,longitude,beds,host_neighbourhood_is_na,summary_is_na,license_is_na,property_type_other,"host_verifications_['email', 'phone']",room_type_Private room,price
91,1.0,13.423139625105364,1.0,False,False,True,0,0,1,46.0
92,1.0,13.426649947410164,1.0,False,False,True,0,0,0,55.0
93,1.0,13.474103270201823,2.0,False,False,True,0,0,0,35.0
94,1.0,13.323415818527847,2.0,True,False,True,0,0,1,65.0
95,1.0,13.372500914112107,1.0,False,False,True,0,0,1,35.0
96,2.0,13.424239349745786,1.0,False,False,True,0,0,1,45.0
97,1.0,13.423069284306374,1.0,False,False,False,0,0,1,29.0
98,1.0,13.432192874426987,1.0,False,False,True,0,0,1,45.0
99,1.0,13.4143076967308,2.0,False,False,True,0,0,0,75.0
100,1.0,13.318534185822244,2.0,False,False,True,0,0,0,33.0
101,1.0,13.434046306371073,1.0,True,False,True,0,0,1,39.0
102,1.0,13.324521581327074,4.0,False,False,True,1,0,0,140.0
103,1.0,13.455683521551835,1.0,False,False,True,0,0,1,60.0
104,1.0,13.413087650801765,2.0,True,False,True,0,1,0,125.0
105,1.0,13.271968295825912,3.0,False,True,True,0,0,1,60.0
106,1.0,13.447692229268766,1.0,False,False,True,0,0,1,33.0
107,2.0,13.49049616270974,1.0,True,False,True,0,1,1,50.0
108,1.0,13.42410624297637,1.0,False,False,True,0,0,1,32.0
109,1.0,13.447402788805244,2.0,False,False,False,0,0,0,75.0
110,1.0,13.413900884690676,3.0,True,False,True,0,0,0,75.0
111,1.0,13.36032077557514,2.0,False,False,True,0,0,0,55.0
112,1.0,13.36451929685736,2.0,True,False,True,0,0,0,36.0
113,2.0,13.350785851588334,1.0,False,False,True,0,0,1,40.0
114,1.0,13.353520596693931,1.0,True,False,True,0,0,1,27.0
115,1.0,13.335366161029524,2.0,True,False,True,0,0,1,55.0
116,1.0,13.327146015105875,2.0,True,False,True,0,0,1,29.0
117,2.0,13.428270928422311,1.0,False,False,True,0,0,0,45.0
118,1.0,13.461641213484347,1.0,False,False,True,0,0,1,40.0
119,2.0,13.459564515805802,1.0,False,False,True,0,0,1,30.0
120,12.0,13.435744934946596,2.0,True,True,True,0,0,0,145.0
121,1.0,13.328260477652186,2.0,False,False,True,0,0,1,30.0
122,1.0,13.435958152247588,1.0,False,False,True,0,0,1,20.0
123,1.0,13.293717701148319,1.0,False,False,True,0,0,0,60.0
124,1.0,13.46368091841232,1.0,True,False,True,0,0,0,60.0
125,1.0,13.447343772278273,2.0,True,False,True,0,0,1,20.0
126,1.0,13.336472374029515,1.0,True,False,True,0,0,1,31.0
127,1.0,13.477827743494132,2.0,False,False,False,0,0,0,75.0
128,2.0,13.304241936494167,2.0,False,True,True,0,0,0,59.0
129,1.0,13.433615532942165,1.0,False,False,True,0,0,0,75.0
130,1.0,13.378972999619052,1.0,True,False,True,0,1,1,40.0
131,1.0,13.450298203864527,1.0,True,False,True,0,0,0,60.0
132,1.0,13.412781322070712,1.0,False,False,True,0,0,1,69.0
133,1.0,13.321526329160342,1.0,False,False,True,0,1,1,30.0
134,2.0,13.396675526685195,1.0,False,False,True,0,1,1,70.0
135,1.0,13.420977582164635,2.0,True,False,True,0,0,0,50.0
